BATCH_SIZE,LEARNING_RATE,EMB_SIZE,ATTN_HEADS,ENC_LAYERS,DEC_LAYERS,Final_Accuracy,Final_Loss,Execution_Time_Seconds
128,0.0005,128,1,1,1,0.861822,1.323721,138.53
128,5e-05,128,4,6,2,0.868049,1.334957,389.74
32,0.001,256,1,4,1,0.502236,3.103684,896.41
32,0.0001,128,1,6,1,0.869701,1.298684,818.71
16,0.001,64,4,6,3,0.79927,1.998132,2202.48
32,0.001,512,1,2,2,0.165886,5.668631,2679.25
16,5e-05,256,4,6,2,0.874131,1.230333,1959.61
16,5e-05,256,16,6,1,0.867928,1.226534,1632.12
64,5e-05,256,4,2,3,0.876096,1.284004,857.74
32,5e-05,128,1,2,4,0.877628,1.29003,1044.13
16,0.0001,64,8,4,1,0.873467,1.281325,1287.72
256,0.001,64,8,1,4,0.863455,1.360095,159.19
16,0.0001,64,4,1,1,0.871736,1.228956,783.55
16,0.0001,64,8,6,6,0.871959,1.25261,3133.02
32,0.0005,64,4,4,6,0.858025,1.326633,1556.57
128,5e-05,1024,8,1,1,0.86121,1.344684,864.88
